;
; 鎌田さんところの全命令表から必要カラムだけ抜き出したもの。
; http://www.retropc.net/x68000/software/develop/as/has060/m68k.htm
;
; ビットパターンの凡例については元ページ参照。
;
; コード用ニーモニックは小文字の部分はそのまま使用される。
; 大文字はマクロ展開する。
;  SS .. サイズに応じて b/w/l に展開
;  EA .. アドレッシングモードに応じて reg/mem に展開
;
;ビットパターン |MPU   |ADDRESSING|コード		|表示名
1111001000000000|--CCSS|          |	|FTANH.X FPm,FPn
1111001000000000|--CCSS|          |	|FATAN.X FPm,FPn
1111001000000000|--CCSS|          |	|FASIN.X FPm,FPn
1111001000000000|--CCSS|          |	|FATANH.X FPm,FPn
1111001000000000|--CCSS|          |	|FSIN.X FPm,FPn
1111001000000000|--CCSS|          |	|FTAN.X FPm,FPn
1111001000000000|--CCSS|          |	|FETOX.X FPm,FPn
1111001000000000|--CCSS|          |	|FTWOTOX.X FPm,FPn
1111001000000000|--CCSS|          |	|FTENTOX.X FPm,FPn
1111001000000000|--CCSS|          |	|FLOGN.X FPm,FPn
1111001000000000|--CCSS|          |	|FLOG10.X FPm,FPn
1111001000000000|--CCSS|          |	|FLOG2.X FPm,FPn
1111001000000000|--CC46|          |	|FABS.X FPm,FPn
1111001000000000|--CCSS|          |	|FCOSH.X FPm,FPn
1111001000000000|--CC46|          |	|FNEG.X FPm,FPn
1111001000000000|--CCSS|          |	|FACOS.X FPm,FPn
1111001000000000|--CCSS|          |	|FCOS.X FPm,FPn
1111001000000000|--CCSS|          |	|FGETEXP.X FPm,FPn
1111001000000000|--CCSS|          |	|FGETMAN.X FPm,FPn
1111001000000000|--CC46|          |	|FDIV.X FPm,FPn
1111001000000000|--CCSS|          |	|FMOD.X FPm,FPn
1111001000000000|--CC46|          |	|FADD.X FPm,FPn
1111001000000000|--CC46|          |	|FMUL.X FPm,FPn
1111001000000000|--CCS6|          |	|FSGLDIV.X FPm,FPn
1111001000000000|--CCSS|          |	|FREM.X FPm,FPn
1111001000000000|--CCSS|          |	|FSCALE.X FPm,FPn
1111001000000000|--CCS6|          |	|FSGLMUL.X FPm,FPn
1111001000000000|--CC46|          |	|FSUB.X FPm,FPn
1111001000000000|--CC46|          |	|FCMP.X FPm,FPn
1111001000000000|----46|          |	|FSMOVE.X FPm,FPn
1111001000000000|----46|          |	|FSSQRT.X FPm,FPn
1111001000000000|----46|          |	|FDMOVE.X FPm,FPn
1111001000000000|----46|          |	|FDSQRT.X FPm,FPn
1111001000000000|----46|          |	|FSABS.X FPm,FPn
1111001000000000|----46|          |	|FSNEG.X FPm,FPn
1111001000000000|----46|          |	|FDABS.X FPm,FPn
1111001000000000|----46|          |	|FDNEG.X FPm,FPn
1111001000000000|----46|          |	|FSDIV.X FPm,FPn
1111001000000000|----46|          |	|FSADD.X FPm,FPn
1111001000000000|----46|          |	|FSMUL.X FPm,FPn
1111001000000000|----46|          |	|FDDIV.X FPm,FPn
1111001000000000|----46|          |	|FDADD.X FPm,FPn
1111001000000000|----46|          |	|FDMUL.X FPm,FPn
1111001000000000|----46|          |	|FSSUB.X FPm,FPn
1111001000000000|----46|          |	|FDSUB.X FPm,FPn
1111001000000000|--CCSS|          |	|FSINCOS.X FPm,FPc:FPs
1111001000000000|--CCS6|          |	|FINT.X FPn
1111001000000000|--CCSS|          |	|FSINH.X FPn
1111001000000000|--CCS6|          |	|FINTRZ.X FPn
1111001000000000|--CC46|          |	|FSQRT.X FPn
1111001000000000|--CCSS|          |	|FLOGNP1.X FPn
1111001000000000|--CCSS|          |	|FETOXM1.X FPn
1111001000000000|--CCSS|          |	|FTANH.X FPn
1111001000000000|--CCSS|          |	|FATAN.X FPn
1111001000000000|--CCSS|          |	|FASIN.X FPn
1111001000000000|--CCSS|          |	|FATANH.X FPn
1111001000000000|--CCSS|          |	|FSIN.X FPn
1111001000000000|--CCSS|          |	|FTAN.X FPn
1111001000000000|--CCSS|          |	|FETOX.X FPn
1111001000000000|--CCSS|          |	|FTWOTOX.X FPn
1111001000000000|--CCSS|          |	|FTENTOX.X FPn
1111001000000000|--CCSS|          |	|FLOGN.X FPn
1111001000000000|--CCSS|          |	|FLOG10.X FPn
1111001000000000|--CCSS|          |	|FLOG2.X FPn
1111001000000000|--CC46|          |	|FABS.X FPn
1111001000000000|--CCSS|          |	|FCOSH.X FPn
1111001000000000|--CC46|          |	|FNEG.X FPn
1111001000000000|--CCSS|          |	|FACOS.X FPn
1111001000000000|--CCSS|          |	|FCOS.X FPn
1111001000000000|--CCSS|          |	|FGETEXP.X FPn
1111001000000000|--CCSS|          |	|FGETMAN.X FPn
1111001000000000|----46|          |	|FSSQRT.X FPn
1111001000000000|----46|          |	|FDSQRT.X FPn
1111001000000000|----46|          |	|FSABS.X FPn
1111001000000000|----46|          |	|FSNEG.X FPn
1111001000000000|----46|          |	|FDABS.X FPn
1111001000000000|----46|          |	|FDNEG.X FPn
1111001000000000|--CCSS|          |	|FMOVECR.X #ccc,FPn
1111001000000xxx|--CC46|          |	|FTST.lwb Dx
1111001000000xxx|--CC46|          |	|FMOVE.lswb Dx,FPn
1111001000000xxx|--CCS6|          |	|FINT.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FSINH.lswb Dx,FPn
1111001000000xxx|--CCS6|          |	|FINTRZ.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FSQRT.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FLOGNP1.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FETOXM1.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FTANH.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FATAN.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FASIN.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FATANH.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FSIN.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FTAN.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FETOX.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FTWOTOX.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FTENTOX.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FLOGN.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FLOG10.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FLOG2.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FABS.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FCOSH.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FNEG.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FACOS.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FCOS.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FGETEXP.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FGETMAN.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FDIV.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FMOD.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FADD.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FMUL.lswb Dx,FPn
1111001000000xxx|--CCS6|          |	|FSGLDIV.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FREM.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FSCALE.lswb Dx,FPn
1111001000000xxx|--CCS6|          |	|FSGLMUL.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FSUB.lswb Dx,FPn
1111001000000xxx|--CC46|          |	|FCMP.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSMOVE.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSSQRT.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDMOVE.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDSQRT.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSABS.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSNEG.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDABS.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDNEG.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSDIV.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSADD.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSMUL.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDDIV.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDADD.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDMUL.lswb Dx,FPn
1111001000000xxx|----46|          |	|FSSUB.lswb Dx,FPn
1111001000000xxx|----46|          |	|FDSUB.lswb Dx,FPn
1111001000000xxx|--CCSS|          |	|FSINCOS.lswb Dx,FPc:FPs
1111001000000xxx|--CC46|          |	|FMOVE.lwb FPm,Dx
1111001000100xxx|--CC46|    -     |	|FMOVEM.X #<data>,-(Ax)
1111001000100xxx|--CC46|    -     |	|FMOVEM.X <list>,-(Ax)
1111001000100xxx|--CC4S|    -     |	|FMOVEM.X Dn,-(Ax)
1111001000111100|--CC4S|         I|	|FMOVEM.L #<data>,#<data>,FPSR/FPIAR
1111001000111100|--CC4S|         I|	|FMOVEM.L #<data>,#<data>,FPCR/FPIAR
1111001000111100|--CC4S|         I|	|FMOVEM.L #<data>,#<data>,FPCR/FPSR
1111001000111100|--CC4S|         I|	|FMOVEM.L #<data>,#<data>,#<data>,FPCR/FPSR/FPIAR
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FTST.lsxwdb <ea>
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FTST.P <ea>
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FMOVE.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FMOVE.P <ea>,FPn
1111001000mmmrrr|--CCS6|  M+-WXZPI|	|FINT.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FINT.P <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSINH.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCS6|  M+-WXZPI|	|FINTRZ.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FINTRZ.P <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FSQRT.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSQRT.P <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FLOGNP1.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FETOXM1.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FTANH.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FATAN.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FASIN.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FATANH.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSIN.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FTAN.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FETOX.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FTWOTOX.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FTENTOX.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FLOGN.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FLOG10.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FLOG2.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FABS.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FABS.P <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FCOSH.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FNEG.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FNEG.P <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FACOS.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FCOS.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FGETEXP.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FGETMAN.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FDIV.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FDIV.P <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FMOD.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FADD.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FADD.P <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FMUL.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FMUL.P <ea>,FPn
1111001000mmmrrr|--CCS6|  M+-WXZPI|	|FSGLDIV.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSGLDIV.P <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FREM.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSCALE.lsxpwdb <ea>,FPn
1111001000mmmrrr|--CCS6|  M+-WXZPI|	|FSGLMUL.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSGLMUL.P <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FSUB.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSUB.P <ea>,FPn
1111001000mmmrrr|--CC46|  M+-WXZPI|	|FCMP.lsxwdb <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FCMP.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSMOVE.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSMOVE.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSSQRT.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSSQRT.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDMOVE.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDMOVE.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDSQRT.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDSQRT.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSABS.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSABS.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSNEG.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSNEG.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDABS.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDABS.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDNEG.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDNEG.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSDIV.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSDIV.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSADD.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSADD.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSMUL.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSMUL.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDDIV.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDDIV.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDADD.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDADD.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDMUL.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDMUL.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FSSUB.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FSSUB.P <ea>,FPn
1111001000mmmrrr|----46|  M+-WXZPI|	|FDSUB.lsxwdb <ea>,FPn
1111001000mmmrrr|----SS|  M+-WXZPI|	|FDSUB.P <ea>,FPn
1111001000mmmrrr|--CCSS|  M+-WXZPI|	|FSINCOS.lsxpwdb <ea>,FPc:FPs
1111001000mmmrrr|--CCSS|  M+-WXZ  |	|FMOVE.P FPn,<ea>{#k}
1111001000mmmrrr|--CCSS|  M+-WXZ  |	|FMOVE.P FPm,<ea>{Dn}
1111001000mmmrrr|--CC46|  M+-WXZ  |	|FMOVE.lsxwdb FPm,<ea>
1111001000mmmrrr|--CC46|DAM+-WXZPI|	|FMOVE.L <ea>,FPIAR
1111001000mmmrrr|--CC46|DAM+-WXZPI|	|FMOVEM.L <ea>,FPIAR
1111001000mmmrrr|--CC46|D M+-WXZPI|	|FMOVE.L <ea>,FPSR
1111001000mmmrrr|--CC46|D M+-WXZPI|	|FMOVEM.L <ea>,FPSR
1111001000mmmrrr|--CC46|  M+-WXZP |	|FMOVEM.L <ea>,FPSR/FPIAR
1111001000mmmrrr|--CC46|D M+-WXZPI|	|FMOVE.L <ea>,FPCR
1111001000mmmrrr|--CC46|D M+-WXZPI|	|FMOVEM.L <ea>,FPCR
1111001000mmmrrr|--CC46|  M+-WXZP |	|FMOVEM.L <ea>,FPCR/FPIAR
1111001000mmmrrr|--CC46|  M+-WXZP |	|FMOVEM.L <ea>,FPCR/FPSR
1111001000mmmrrr|--CC46|  M+-WXZP |	|FMOVEM.L <ea>,FPCR/FPSR/FPIAR
1111001000mmmrrr|--CC46|DAM+-WXZ  |	|FMOVE.L FPIAR,<ea>
1111001000mmmrrr|--CC46|DAM+-WXZ  |	|FMOVEM.L FPIAR,<ea>
1111001000mmmrrr|--CC46|D M+-WXZ  |	|FMOVE.L FPSR,<ea>
1111001000mmmrrr|--CC46|D M+-WXZ  |	|FMOVEM.L FPSR,<ea>
1111001000mmmrrr|--CC46|  M+-WXZ  |	|FMOVEM.L FPSR/FPIAR,<ea>
1111001000mmmrrr|--CC46|D M+-WXZ  |	|FMOVE.L FPCR,<ea>
1111001000mmmrrr|--CC46|D M+-WXZ  |	|FMOVEM.L FPCR,<ea>
1111001000mmmrrr|--CC46|  M+-WXZ  |	|FMOVEM.L FPCR/FPIAR,<ea>
1111001000mmmrrr|--CC46|  M+-WXZ  |	|FMOVEM.L FPCR/FPSR,<ea>
1111001000mmmrrr|--CC46|  M+-WXZ  |	|FMOVEM.L FPCR/FPSR/FPIAR,<ea>
1111001000mmmrrr|--CC46|  M+ WXZP |	|FMOVEM.X <ea>,#<data>
1111001000mmmrrr|--CC46|  M+ WXZP |	|FMOVEM.X <ea>,<list>
1111001000mmmrrr|--CC4S|  M+ WXZP |	|FMOVEM.X <ea>,Dn
1111001000mmmrrr|--CC46|  M  WXZ  |	|FMOVEM.X #<data>,<ea>
1111001000mmmrrr|--CC46|  M  WXZ  |	|FMOVEM.X <list>,<ea>
1111001000mmmrrr|--CC4S|  M  WXZ  |	|FMOVEM.X Dn,<ea>
1111001001001nnn|--CC4S|          |	|FDBcc Dn,<label>
111100100111101s|--CC4S|          |	|FTRAPcc.wl #<data>
1111001001111100|--CC4S|          |	|FTRAPcc
1111001001mmmrrr|--CC4S|D M+-WXZ  |	|FScc.B <ea>
1111001010000000|--CC46|          |	|FNOP
111100101scccccc|--CC46|          |	|FBcc.wl <label>
1111001100mmmrrr|--CC46|  M -WXZ  |	|FSAVE <ea>
1111001101mmmrrr|--CC46|  M+ WXZP |	|FRESTORE <ea>
11110100cc001nnn|----46|          |	|CINVL <caches>,(An)
11110100cc010nnn|----46|          |	|CINVP <caches>,(An)
11110100cc011000|----46|          |	|CINVA <caches>
11110100cc101nnn|----46|          |	|CPUSHL <caches>,(An)
11110100cc110nnn|----46|          |	|CPUSHP <caches>,(An)
11110100cc111000|----46|          |	|CPUSHA <caches>
1111010100000nnn|----46|          |	|PFLUSHN (An)
1111010100001nnn|----46|          |	|PFLUSH (An)
1111010100010000|----46|          |	|PFLUSHAN
1111010100011000|----46|          |	|PFLUSHA
1111010101001nnn|----4-|          |	|PTESTW (An)
1111010101101nnn|----4-|          |	|PTESTR (An)
1111010110001nnn|-----6|          |	|PLPAW (An)
1111010111001nnn|-----6|          |	|PLPAR (An)
1111011000000nnn|----46|          |	|MOVE16 (An)+,xxx.L
1111011000001nnn|----46|          |	|MOVE16 xxx.L,(An)+
1111011000010nnn|----46|          |	|MOVE16 (An),xxx.L
1111011000011nnn|----46|          |	|MOVE16 xxx.L,(An)
1111011000100xxx|----46|          |	|MOVE16 (Ax)+,(Ay)+
1111100000000000|-----6|          |	|LPSTOP.W #<data>
1111iii000mmmrrr|--23--|          |	|cpGEN <parameters>
1111iii001001nnn|--23--|          |	|cpDBcc.W Dn,<label>
1111iii00111101s|--23--|          |	|cpTRAPcc.wl #<data>
1111iii001111100|--23--|          |	|cpTRAPcc
1111iii001mmmrrr|--23--|D M+-WXZ  |	|cpScc.B <ea>
1111iii01scccccc|--23--|          |	|cpBcc.wl <label>
1111iii100mmmrrr|--23--|  M -WXZ  |	|cpSAVE <ea>
1111iii101mmmrrr|--23--|  M+ WXZPI|	|cpRESTORE <ea>
